batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ESPN,"@wendy.bri, snow, cold",espn,2000000,19800,170800,108600
1,2,BETTER chica sorry - fangirleditz,fnaf,bebopandbebe,104400,4250,10500,585
1,7,original sound - Breckie Hill,@henry_hockey777,breckiehill,214700,1165,20600,694
1,8,original sound - abby :)🔅,"pregnant, findingoutimpregnant, pregnancy, pregnancytest, pregnancytiktok, preggo, fyp, foryourpage, funny, 17, boyfriend",abby.brook3,1500000,7914,70800,9042
1,11,Yeah! (feat. Lil Jon & Ludacris) - Usher,"anniversary, confessions",usher,405100,2770,21500,6680
2,0,original sound - Gavin.kernstinee,igmirandahhmarie,mirandahshaul,406200,1735,43900,7033
2,1,original sound - 🎧🎵,"fy, fyp%E3%82%B7, vairal, xzyabc, foryou, preppy, stanleycup, tiktok, like, follow, goviralgo, thursday, skincare, glowrrcipe, drunkelephant, sephora, watermelon, vanity, preppyaesthetic, preppylifestyle, afternoon, pink",livewgiulia,137200,19600,36200,9620
2,2,original sound - ICE SPICE FAN,"@icespicee, icespice, icespicecult, icespiceperformance, scarlettour, icespiceisqueen, icespiceeedit, icespicefans, icespicefan, icespicebronx, trending",icespice_baddie1,77800,530,11800,689
2,4,1 second count / when button pressed / time signal 03(1107043) - QUESS,"noncity, yap, interestingfacts",noncityyy,301700,74100,41700,54900
2,7,original sound - Chris and jasmin,"giveaway, cash, fyp, viral, trending",chrisandjasmin,62900,2045,6227,1715
2,8,ROCKIN’ AROUND THE CHRISTMAS TREE - BRENDA LEE,"comfykicks, sneakerhead, slippers, sneakers, sneakertok, fyp, viralvideo, sneakerslipper, giftideas",comfykicks.com,378200,12300,52500,53100
2,9,original sound - Markell Washington,@yasssitslexxus,markellwashington1,68800,490,12500,641
2,10,sonido original - Alan (Tyler's version),"foryou, pourtoi, frenchtherian, therian, therianfortherian, quadrobist, quadrobicsjump, quadrobics, theriansafeplace, theriotype",marshall.therian,48600,5691,7753,1904
2,12,original sound - user2040105067460,"movie, film, foryou",lula36124,493800,542,33200,410
2,17,brian is the most beautiful - ❀,"viral, fyp, real, mentalhealth, relatable, sad, sadrelatable, imtired, mentalhospital",someone...idk7,1000000,0,66700,1548
2,18,original sound - brynnchilson,"anniversary, thequeen, cakeflipping, 1year, mytalent, fyp",originalbchillmama,3000000,4864,97500,3018
2,20,original sound - Gary The RC car,"ica, sverige, sweden, rccar, rc",garytherccar,157100,543,13900,1694
2,21,original sound - madi,"fyp, makemeviral, fyp%E3%82%B7%E3%82%9Aviral, maj, blowup, makemefamouse",shelovesmxj,164900,1644,31800,945
2,23,original sound - Logan Miller,,loganmillerx,41700,737,2188,166
3,0,original sound - DL,,kya.lutes9,111,3,30,0
3,3,nhạc nền - Survival Channel,"halleyquinn, granny, huggywuggy, troll, scarytiktoks, scaryteacher, scayteacher3d, scaryteachergame, niece, nick, tani, hero, funny, funnyvideos, parati, paratii, fyb, fyb%E3%82%B7, vairl, vairal, coffindance, squid, squidgamenetflix, squidgame, trending, trend, fyp, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, fypdongggggggg, vairalvideo, bravo, brave, cartoon, animation, animations, squidgame, squidgamenetflix, superman, usa, usa%F0%9F%87%BA%F0%9F%87%B8, usatiktok, us",survivalnature_channel,639000,11900,100500,249700
3,4,الصوت الأصلي - 🏹🇾🇪ابوعبدالله🇾🇪 🏹,"%D8%A7%D8%B7%D9%81%D8%A7%D9%84, %D8%A7%D8%B7%D9%81%D8%A7%D9%84%D9%86%D8%A7_%D8%B3%D8%B1_%D8%B3%D8%B9%D8%A7%D8%AF%D8%AA%D9%86%D8%A7",ibrahim.alrazehy,895400,3593,48500,20900
3,6,sonido original - halo,"cr7, binance, work",anamarkovix,895800,4381,69800,7161
3,8,original sound - ANGRY GRANDMA,"fyp, angrygrandma, comedy, shopping, christmas, viral, trending, makethisviral, funny, hilarious, trynottolaughtiktoktv",angrygrandma18,638900,7531,71100,126000
3,9,original sound - Paul And Friends,,paulvufriends1,848400,15800,117300,6482
3,12,origineel geluid - Uranium bomb :3,"furry, collage, dbd, idv, monsterenergy, pokemon, fursuit, sodadog, anthro",mono_thesodadog,45,2,15,0
3,13,original sound - CARz_of_TIKTOKz,"fyp, fyp%E3%82%B7%E3%82%9Aviral, foryourpage, foryou, carcommunity, tiktok, tiktokviral, povs, pov, fyy, fyyy, justforfun, funny, truck, trucktok, bet, hunters, funnyvideos, laugh, jokes",carz_of_tiktokz,266300,857,30100,1785
3,16,original sound - kahu,"foryou, fyp, funny, tiktok, movie, %F0%9F%98%82%F0%9F%98%82%F0%9F%98%82",tkdsbpnanzn,51900,170,4535,259
3,17,original sound - KendraLust,"tellingpeople, pistons, @detroitpistons, stayready",kendralust97,251800,3927,21200,5968
