batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ina,,ina.katherine,3400000,30100,224300,94500
1,2,original sound - ESPN,"@wendy.bri, snow, cold",espn,2000000,19800,170800,108600
1,5,original sound - Nieka Richard,"@wockhardt03, principalrichard",niekarichard,8400000,107400,683300,129500
1,6,nhạc nền - Survival Channel,"halleyquinn, granny, huggywuggy, troll, scarytiktoks, scaryteacher, scayteacher3d, scaryteachergame, niece, nick, tani, hero, funny, funnyvideos, parati, paratii, fyb, fyb%E3%82%B7, vairl, vairal, coffindance, squid, squidgamenetflix, squidgame, trending, trend, fyp, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, fypdongggggggg, vairalvideo, bravo, brave, cartoon, animation, animations, squidgame, squidgamenetflix, superman, usa, usa%F0%9F%87%BA%F0%9F%87%B8, usatiktok, us",survivalnature_channel,639100,11900,100600,249700
1,7,original sound - Lara,"fyp, skit",wittlelararose,17700,61,4256,40
1,8,original sound - s15_🔛🔝,"meme, memecut, capcut",claud_2011,548700,6498,115400,10300
1,9,original sound - Lil Tony Fr,"heart, fyp, ontopmelo, fyp%E3%82%B7, romantolit",ontopmelo__,51700,596,7645,138
1,10,Coda (Instrumental) - BLVKSHP,,itstopshelf,263900,2925,56600,14500
2,0,original sound - Dayquan & Arianna,,dayandari,224800,1284,23600,1508
2,1,dźwięk oryginalny - user46559354083,"noahschnapp, fyp, apology",c6lstials,1100000,13500,61800,13500
2,2,original sound - ren ( fan acc ),"capcut, @ptsmash, @okdunkz, @hubxmango, @ae.bases, @pedqrx, @7hanel, @.dilaurentisfx, _edits_tik_fp, edit, _edits_tik_, template, velocity, aftereffects, ae, charlidamelio",.edits_tikfp,94400,1484,44400,396
2,7,original sound - Sierra Larson,"fyp, fypage, trendy, romantoolit, thanksgiving",theonlyromantoolit,97700,663,16500,358
2,8,Love You So - The King Khan & BBQ Show,,chypdeplo1,3200000,58600,645300,88200
2,13,son original - prof.star,"test, professor, correction, school",prof.star,2800000,51700,205300,94800
2,14,som original - rinx,"therianboy, fyp, therianthropy, quadrobics, dlaciebie, handmade, realwolfmask, therianwolf",wolf.spectrum,1298,209,620,3
2,15,sonido original - 🫣ZHANE OFICIAL 🙈,,zhane_oficial,294600,512,23300,3468
2,17,nhạc nền - Justin Flom,"justinflom, magician, streetmagic, funnyvideos, viral, fyp",justinflom.clip,46500,163,3353,370
2,18,original sound - lacie may,"fyp, hi, countrygirl, ford, fordtrucks, minnesota",mnaveragelaciemay,63600,32900,3089,348
2,19,joshuasamuels follow me - 00:00,foryoupage,secretlifeofroma,1100000,6464,70000,4278
2,20,original sound - Aimzy,"funny, fyp, viral, skit",aimzygg,85800,175,14500,102
2,21,Bubbly - Colbie Caillat,"interiordesign, college, universityofkentucky",alexnilsen_,3500000,8335,150200,28500
2,24,nhạc nền - Meme Love,,memeking8386us1,292400,7590,52400,10500
2,25,original sound - elly♡,,ellycifuentes,882100,2594,55500,1213
3,1,SkeeYee - Sexyy Red,"fyp, foru",aisharennie_,1800000,2787,68500,7689
3,2,original sound - daisysdays,"fyp, fyp%E3%82%B7, foryou, koy, emo, princess, goodgirl, police, chickfila, bffs",koy.rose,892600,1682,73300,3320
3,3,O PARTY SUGARHILL KEEM VERSE BASS BOOSTED - 🗣️🗣️,"roblox, sugarhillkeem, hoodgame, fyp, robloxnyc, robloxhood, robloxstory, robloxhoodgame, robloxkid, robloxgames, dahood, robloxgamestoplay, robanger, hoodgamesroblox",undeadbusiness,80300,1133,18400,2511
3,6,Meow - Dust☆,"@cofflefish, voiceover, voiceovers, elsa, elsafrozen, anna, annafrozen, frozen, frozenmovie, frozenmoment, frozenmoments, frozenelsa, frozenanna, elsaandanna, annaandelisa, frozenelsaandanna, arendelle, disney, disneymovies, disneymovie, disnevplus, disneyanimation, disneyplus, disneyfrozen, princessanna, queenelsa, princehans, hans, princehansofthesouthernisles, hansofthesouthernisles",risottosimp3000_3.0,47000,1103,9758,1924
3,8,original sound - I olny have eyes for him❤️‍🩹,,olnyeyesforhim34,40,1,1250,0
3,9,original sound - madi,"fyp, makemeviral, fyp%E3%82%B7%E3%82%9Aviral, maj, blowup, makemefamouse",shelovesmxj,164900,1643,31900,945
3,10,original sound - kahu,"foryou, fyp, funny, tiktok, movie, %F0%9F%98%82%F0%9F%98%82%F0%9F%98%82",tkdsbpnanzn,51900,170,4538,261
3,11,original sound - cadaea,,cadaea,612700,5196,93500,9824
3,14,original sound - Weirdo,"foryoupage, foryou, fyp, funny, comedy",weirdow0rld,160200,1536,29600,2180
3,18,original sound - raya,"fyp, manipulation, gaslighting, gaslighting101",yerbafanatic,1100000,7172,110300,4584
3,22,original sound - KendraLust,"tellingpeople, pistons, @detroitpistons, stayready",kendralust97,251800,3927,21200,5968
3,23,YKWIM? - 东 百 下小 雨,"viral, sad, love, pain, real",silkyslive,344700,6277,47800,2358
3,27,Titanic flute fail - Funny/Awesome Vids,,gomeznotselena,11300000,140100,868500,856700
4,3,original sound - riley mae,"loyaltytest, streetinterview, interview",rileymae,17100,104,1545,43
4,4,BOBBLEHEAD (She's A BobbleHead) [remastered] - FiyaBoi,"bobblehead, buzzin",erica.smith007,65,4,5,1
4,5,THE NEXT STATION IS SHIBUYA - 𝙿𝚊𝚗𝚍𝚡,"@f_no_cool, @nevstudioofficial",arshia_._bk,393700,8962,49300,5372
4,8,original sound - 𝑛𝑒̀𝑙𝑙𝑎ଓ,"twins, mixup",starandshontwins,179100,636,6033,975
4,11,original sound - lowkey.nuts34,,lowkey.nuts34,1100000,27900,225200,166000
4,13,original sound - Jay,,diamantblazi,18300,432,1921,260
4,14,original sound - Logan_Peak,"siblings, fyp, viralvideo",logan_peak,2400000,5365,165900,9015
4,15,1 second count / when button pressed / time signal 03(1107043) - QUESS,"noncity, yap, interestingfacts",noncityyy,301700,74100,41700,54900
4,16,original sound - rated r,"fyp, gatorade, drinkprime",playboyjuju,221600,2285,25400,2929
4,17,original sound - IRONALDOX,"ishowspeed, kaicenat, stopvaping, dontvape, ironaldox",ironaldox,683100,2504,54700,1957
