batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,I Have No Enemies - ★DGK132105,,itsmiawaifu,45200,1023,13100,1489
1,1,오리지널 사운드 - 🔗Aramkim🔗 - 2/14'200Day𝐀𝐑𝐀𝐌🔗,,aramkimc,8400000,126600,461800,303200
1,2,Love Is Beautifully Painful (Ghost Duet Version) - Darkrose,"fyp, foryou, foryoupage, emotional, dad, son, trans, viral",dailytokky,389800,6677,48900,7134
1,3,original sound - MoBo,comedy,mobotv,491100,4927,60600,3673
1,4,الصوت الأصلي - AYMAN - ايمن,"%F0%9F%A7%95, allah%E2%9D%A4%EF%B8%8F, islamic_video, %E1%8A%A0%E1%88%8D%E1%88%80%E1%88%9D%E1%8B%B1%E1%88%8A%E1%88%8B%E1%88%85_%E1%88%99%E1%88%B5%E1%88%8A%E1%88%9D_%E1%88%8B%E1%8B%B0%E1%88%A8%E1%8A%A8%E1%8A%9D_%E1%8C%8C%E1%89%B3, ethiopian_tik_tok, oromotiktok%E2%9D%A4%EF%B8%8F%F0%9F%92%9A%E2%9D%A4%EF%B8%8F",yasimine430,1750,167,2775,611
1,5,original sound - Movie3658,"foryou, fyp, movie, film, movies",zxhzxpxg7px,99400,160,12700,200
1,6,original sound - Caleb Finn,,lelasohna,72600,255,13300,363
1,7,الصوت الأصلي - ديري,"fyp, trending, funnyvideo, funny",_respect.official,3406,24,723,268
1,8,original sound - I olny have eyes for him❤️‍🩹,,olnyeyesforhim34,43,2,1265,0
1,9,original sound - RyanTheLeader,,ryantheleader,2400000,12100,123400,81800
1,10,"original sound - Humphrey, Theo and Teddy 🐶","affirmations, yoursign, tarotreading, manifest",heychelseatina,40600,25300,23000,10500
1,11,original sound - Gary The RC car,"ica, sverige, sweden, rccar, rc",garytherccar,157300,544,14000,1697
2,0,original sound - Wonky Donkey,,_wonky_donkey_,246300,6764,24900,23800
2,1,Asn - thsituan._.,,ccabots,202100,4687,123600,3801
2,2,original sound - kahu,"foryou, fyp, funny, tiktok, movie, %F0%9F%98%82%F0%9F%98%82%F0%9F%98%82",tkdsbpnanzn,52000,172,4541,261
2,3,supïdo Jiafei Remix - FlopcakKe,"jiafei, jiafeiproducts, lifehack, vtvcab, meme",kietfei,3100000,32800,195100,52900
2,4,original sound - ren ( fan acc ),"capcut, @ptsmash, @okdunkz, @hubxmango, @ae.bases, @pedqrx, @7hanel, @.dilaurentisfx, _edits_tik_fp, edit, _edits_tik_, template, velocity, aftereffects, ae, charlidamelio",.edits_tikfp,94500,1485,44400,397
2,5,original sound - mabu😇,"drake, lilmabu, rap, fyp%E3%82%B7",lilmabu,1100000,3330,57000,2084
2,6,original sound - Breckie Hill,@henry_hockey777,breckiehill,214700,1166,20700,694
2,7,original sound - allison,fyp,redhairgorl,149700,823,28900,2164
2,8,brian is the most beautiful - ❀,"viral, fyp, real, mentalhealth, relatable, sad, sadrelatable, imtired, mentalhospital",someone...idk7,1000000,0,67100,1552
2,9,Creepy and simple horror background music(1070744) - howlingindicator,"foryou, disney, fyp%E3%82%B7, fyp",moviemistakesomg,729300,10600,59900,1538
2,10,original sound - rachel,"airpods, airpodshack, fyp, school, highschool, skippingschool, fyp%E3%82%B7, foryou, plumcots, tiktok, viral, greenscreen",plumcots,376700,536,49400,335
2,11,original sound - 🕷,"fyp%E3%82%B7%E3%82%9Aviral, relatable, inhaler",solo.aasiaa,408000,2804,34300,1911
