batch,index,music,hashtag,author,likes,comments,shares,saves
1,1,오리지널 사운드 - 🔗Aramkim🔗 - 2/14'200Day𝐀𝐑𝐀𝐌🔗,,aramkimc,8400000,126600,461800,303200
1,7,الصوت الأصلي - ديري,"fyp, trending, funnyvideo, funny",_respect.official,3406,24,722,268
1,11,original sound - Gary The RC car,"ica, sverige, sweden, rccar, rc",garytherccar,157300,544,14000,1697
2,0,original sound - Wonky Donkey,,_wonky_donkey_,246300,6764,24900,23800
2,3,supïdo Jiafei Remix - FlopcakKe,"jiafei, jiafeiproducts, lifehack, vtvcab, meme",kietfei,3100000,32800,195100,52900
2,6,original sound - Breckie Hill,@henry_hockey777,breckiehill,214700,1166,20700,694
2,8,brian is the most beautiful - ❀,"viral, fyp, real, mentalhealth, relatable, sad, sadrelatable, imtired, mentalhospital",someone...idk7,1000000,0,67100,1552
2,10,original sound - rachel,"airpods, airpodshack, fyp, school, highschool, skippingschool, fyp%E3%82%B7, foryou, plumcots, tiktok, viral, greenscreen",plumcots,376700,536,49400,335
2,11,original sound - 🕷,"fyp%E3%82%B7%E3%82%9Aviral, relatable, inhaler",solo.aasiaa,408000,2804,34300,1911
2,13,nhạc nền - Meme Love,,memeking8386us1,292700,7590,52400,10500
2,16,original sound - Funny,,baby_ok7,3100000,34500,377700,81000
2,18,original sound - abby :)🔅,"pregnant, findingoutimpregnant, pregnancy, pregnancytest, pregnancytiktok, preggo, fyp, foryourpage, funny, 17, boyfriend",abby.brook3,1500000,7921,70900,9043
2,21,original sound - 💟,"wheresmusically, grounded, 2019, confused, funny, fyp",tomboywolf123,711600,20600,43000,966
2,22,PLASTIC - Unghetto,"gym, partnerchallenge, liftchalenge, hipthrust, squat, deadlift, curl, pushup, bench",kacpersromek,382200,419,57100,13200
2,23,original sound - Logan Miller,,loganmillerx,41700,738,2190,166
2,25,Chopin Nocturne No. 2 Piano Mono - moshimo sound design,"foodchallenge, rawmeat, fyp, viral, mrbeast, ishowspeed, adinross",paulylong,98300,1136,8402,2226
3,1,original sound - Aimzy,"funny, fyp, viral, skit",aimzygg,85800,175,14500,102
3,3,#WIPEITDOWN - BMW KENNY,"@nxsh.mocs, brunettehair, clean, mirror",only.jeanmarieexo,7814,285,640,79
3,6,Bongos (feat. Megan Thee Stallion) - Cardi B,"@sophieraiin, @summerxiriss",theaishahsofey,255600,990,49600,1831
3,8,son original - prof.star,"test, professor, correction, school",prof.star,3000000,53500,216200,100500
3,9,Lovin On Me - Jack Harlow,"fyp, egirl, viral, fakebody",daisybloomss,97100,685,8774,311
3,11,big boy sza - normusreedus,"viral, foryou, fyp, pastorbelga, groenandael, perrostiktokers, zoldyckfamily",drakko_1710,6300000,59300,396600,128600
3,13,original sound - Kendalle Dabrat,"fyp, plane",bracefacekendalle,403000,3470,45500,1284
3,14,nhạc nền - Justin Flom,"justinflom, magician, streetmagic, funnyvideos, viral, fyp",justinflom.clip,46500,163,3355,370
3,15,Never Lose Me - Flo Milli,"badkidprom2023, seraphandroman",_seraphsworld_,649100,2957,64000,2343
3,16,Love You So - The King Khan & BBQ Show,"viral, valentinesday, fyp, boyfriend",andrea.lopez44,172600,532,13200,3667
3,17,son original - RAPoXygène,,ashleyylreyy,279700,1917,35000,3750
3,19,orijinal ses - caner,"takelookmygirlfriend, fyp%E3%82%B7%E3%82%9Aviral, viralvideo, doratheexplorer, fyp%E3%82%B7%E3%82%9A, jayjay, foryoupage, fyp%E3%82%B7, rizz",lauren__jayden,1700000,30000,227900,60400
3,21,real - blizz △,"runningaway, vent, mentalhealth, mentalhealthawareness, mentalhealthmatters, recovery, mentallyunstable, emotionaldamage, emotionallyunstable, emotionallyunavailaible, runningawayfromhome, fy, fyp, fyp%E3%82%B7",stellisaurus,512600,1573,62100,1216
3,25,original sound - bladebrella.com,,bladebrella.com,613600,3129,70400,10200
3,26,som original - Tal pai tal filho,,babyjoaomiguel07,2300000,33200,166300,164400
3,27,original sound - 𝑛𝑒̀𝑙𝑙𝑎ଓ,"twins, mixup",starandshontwins,179500,637,6048,987
3,28,original sound - Mr. Chamberlain,greenscreen,doulieupnext,120400,59300,23200,2841
4,0,оригинальный звук - никто,,realburnttoasthehe,309200,1018,45500,3355
4,1,original sound - Brooke 👩🏼‍🎤,"@ayetaetae_, @sgc_von",nadeshaig,67000,320,5908,186
4,6,original sound - Lara,"fyp, skit",wittlelararose,17700,61,4261,40
4,7,som original - rinx,"therianboy, fyp, therianthropy, quadrobics, dlaciebie, handmade, realwolfmask, therianwolf",wolf.spectrum,1306,211,622,3
4,9,original sound - Y7,"fyp%E3%82%B7%E3%82%9Aviral, fyp%E3%82%B7, fyp, famous",braebrae60,202600,603,7673,158
4,12,original sound - ashley rose,,ashleyroseclips,14900,82,1479,6
