batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280200,627,15500,164
1,1,original sound - 𝙹 𝙾 𝚈 𝙲 𝙴 𝙻 𝙸𝙽 💋,"serverlife, serverproblems, servertiktok, servers",lujanojoyce,145500,0,21800,844
1,2,Rich gang - Sufferryanyt,,b.e.n_rl,206500,5770,16200,6788
1,3,original sound - daisysdays,"fyp, fyp%E3%82%B7, foryou, koy, emo, princess, goodgirl, police, chickfila, bffs",koy.rose,893100,1683,73300,3322
1,4,orijinal ses - caner,"takelookmygirlfriend, fyp%E3%82%B7%E3%82%9Aviral, viralvideo, doratheexplorer, fyp%E3%82%B7%E3%82%9A, jayjay, foryoupage, fyp%E3%82%B7, rizz",lauren__jayden,1700000,30100,228700,60500
1,5,New Home - Frozen Silence,"fyp, elementaryschool, kid, 08, dentist, satire, relatable",i.think.im.emo,76400,609,10900,176
1,6,original sound - annabelle gesson,@themostreelevan,annabellegesson,152000,1714,16000,1708
1,7,she wanna go viral - libby reynolds,,uluv.luna.tuna,36700,231,1748,50
1,8,original sound - EB Family,"mixedkids, trending",eb.family,427300,2691,26500,2264
1,9,prodbywar x dream - war,gotham%F0%9F%83%8F,.jxrttt,40100,454,5812,226
1,10,som original - ₊˚ Ｍ ａ ｈ⚡️,,knz.07_,1900000,5232,181400,41400
1,11,original sound - AGGAYUCITA<3,,aggayucita,2200000,16900,249100,42800
2,0,original sound - spo6kzie,"@luigi.bta, rizz, siblings, trend, jujuwalk, funny",alessia.bta,265800,404,22000,1174
2,1,sonido original - halo,"diamantblazi, seckoff, bball, basketball, fyp, dance, gamewin, gameday, viral, foryou, trend, floridabasketball, florida, usa, usabasketball, trio, dunk, sportstiktok",diamantblazi,43000,275,2758,253
2,2,no role modelz - destiny,,vera.jrr,920400,5546,97600,3862
2,3,2Humpy is Back - tyyslatt,"fyp, highschool, viral",5staradriii3,1200000,5613,122500,1602
2,4,The Months of the Year - 2014 Version - The Kiboomers,,xoteam,45000,246,2521,74
2,5,original sound - Official Beast Family,"viral, fyp, themadtwinz",themadtwinz_,38900,223,3644,292
2,6,original sound - SpotifySongs,"foryoupage, fyp, xyzbca, viral, trending, fyp",absolutehumanbeing,95100,10500,15500,5762
2,7,nhạc nền - Meme Love,,memeking8386us1,293200,7604,52500,10500
2,8,original sound - Lil Tony Fr,"heart, fyp, ontopmelo, fyp%E3%82%B7, romantolit",ontopmelo__,51700,597,7653,138
2,9,original sound - Timer_povsss,"@friendsxmia, fyp, foryou, viral, fullhouse, timer_povsss, stephanietanner",timer_povsss.backup,484300,1301,33700,617
2,10,Following just the New tiktoker - TikTok Queen🇧🇪 🇮🇹,"light4198, queen_zoei, queenzoeforever",light4198,100200,73700,77500,22900
2,11,original sound - Slim 199x,"fyp%E3%82%B7, dance",thomasharris21,235300,7802,29900,27100
2,12,original sound - Mr. Chamberlain,greenscreen,doulieupnext,120500,59300,23200,2842
2,13,Two out - fartboy979,"fyp, lilrt, fyp%E3%82%B7",ayoslimybj,676400,2421,70100,928
2,14,original sound - ㅤ,,iheartmiaaalol,4500000,15800,417000,54100
2,15,original sound - Weirdo,"foryoupage, foryou, fyp, funny, comedy",weirdow0rld,423800,3287,66500,5685
2,16,Original Sound - Unknown,,theonenonlyaj47,273200,1799,48400,2488
2,17,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,,skykatz,642800,1393,27500,682
2,18,Love songs - ⭐️,,emresuveren,2100000,13300,235200,45600
2,19,original sound - Thomas wu,,infamous_wu13,67700,5024,7138,86
2,20,original sound - Brooke 👩🏼‍🎤,,notyourbaeebooy,33600,168,3163,109
2,21,original sound - Kylie Cantrall,descendants4,kyliecantrall,1500000,5319,69900,2189
2,22,son original - ♥️cute♥️,"pourtoi, failfyp%E3%82%B7%E3%82%9Aviral, funnybabyvideos, rire, compilation",so.cute.funny,1600000,10400,206400,75300
2,23,Teddy Bear x prodbyrl - Terror,,aaliyah666999,40400,0,3012,268
2,24,original sound - spo6kzie,"fyp, viral, pov, smoovestevo",smoovestevo,2200000,15800,299700,19300
2,25,original sound - xylo,"bike, biketok, booktok, cattok, catsoftiktok, blowthisupforme, yamaha",byamasix,515400,3937,60700,4393
2,26,DBSB3272 - Medu,"foryoupage, dlaciebie, foryou, viral, viralvideo, xyzbca, frp%E3%82%B7, trend, trending, essa, ez, dc, frp, frpage",twojstarybobik,468400,1573,47900,2354
2,27,original sound - F L E X O 🤍,"fyp, waynefx, nyc, viral, ex, prank, crush, christmas",wayneflexo,129000,1057,15100,373
3,0,original sound - Jett,,lilnatalka,4300000,30600,343100,57600
3,1,original sound - I LOVE JESUS♥,"christmas2024, merrychristmas, jesusname, lordamen, happybirthday, thankgod, jesuschrist, america",usa.jesusloveyou,398200,46800,41400,52900
3,2,original sound - ingrambates,,ingramaudie,2500000,14000,172500,26500
3,3,original sound - Brett Neustrom,,brett_neusty,6200000,16000,300800,41400
3,4,original sound - Vozol,vozol,vozol_official,597900,16600,54100,24700
3,5,som original - SingingLoudly,"riffoff, pitchperfect, song, music, singing",singing.loudly1,1900000,4566,124500,5314
3,6,original sound - Ruck‼️,"fyp, viral, relatable, annielay12, curls, crush",annielay12,1200000,13400,137300,15100
3,7,lights out x 22 - tyyslatt,"fypage, xybcza, views",trin_brianne,12800,111,1689,41
3,8,ANTISOCIAL - CRISTALE,"outnow, antisocial, brixton",cristaleyy,246000,1737,12700,1674
3,9,original sound - graceraynexo,,graceraynexo1,5304,45,898,20
3,10,La Espada - Eternal Raijin,basketball,suuperbro0,39200,12500,4501,1757
3,11,original sound - sp33dsongsx,"foryoupage, foryou, fyp, viral, period, periodpain",readbypaulina,86400,1124,11600,914
3,12,sonido original - halo,"@yadipr_5, pourtoi, fyp, viral, basketball, basketballplayer, florida, dayone, seakers, kobe6",yohan_lbt,42900,263,3853,152
3,13,original sound - CFood_dbe,"reels, @jinacii, @lilcfood",cfood_dbe,88600,298,9934,410
3,14,som original - jvcom💤,"marista, loira, maristinha, aula, escola",luisa_iurck,83200,166,5219,392
3,15,Candyman (Ultimix Mixshow) - Christina Aguilera,"fyp, foryou, @flemkristine",eliseesaebones,225000,1891,19000,6935
3,16,Kimmy slayed - 𓆗,brisbane,trinitynquyen,1300000,4965,55500,1892
3,17,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,,sabyhesri,161900,1735,19000,340
3,18,original sound - Toyy,"sings, friends, paramore, herway, herwaychallenge, presidentdeborahalivilliams, deborahaliwilliams, floptok, flopera",toyyii_,683500,4089,81400,5708
3,19,original sound - Brea 🐰🩷🫧,"liluzivert, pinktapeliluzivert, pinktapetour, uzi, phillytiktok, philly, fyp, foryou, lostphone, gianna, raven, wellsfargocenter",x.brea_,1800000,2249,149100,955
3,20,Meow - Dust☆,"@cofflefish, voiceover, voiceovers, elsa, elsafrozen, anna, annafrozen, frozen, frozenmovie, frozenmoment, frozenmoments, frozenelsa, frozenanna, elsaandanna, annaandelisa, frozenelsaandanna, arendelle, disney, disneymovies, disneymovie, disnevplus, disneyanimation, disneyplus, disneyfrozen, princessanna, queenelsa, princehans, hans, princehansofthesouthernisles, hansofthesouthernisles",risottosimp3000_3.0,47100,1105,9785,1931
3,21,original sound - lol yea.,,jaden.traub001,26400,139,1967,88
3,22,You Can't Beat Me Challenge Jersey Club (Suunnnlight Vocals) - YKaY,fyp%E3%82%B7,chasityromann,322500,958,47700,1951
4,0,original sound - aqsaꨄ,@sofiyaheartsu,defnot.dyllan,100200,2871,9441,2021
4,1,Love songs - ⭐️,"fyp%E3%82%B7, trending, fyp, foryoupage, viral, nayelilovera",nayelilovera_,46300,667,6854,94
4,2,original sound - Lustra Clear,"randomfacts, satisfyingvideos, viral, fyp",lustraclear,231400,47700,28000,143200
4,3,nhạc nền - Funny,,madlab.ml,289200,3276,56300,8487
4,4,original sound - JAYLLNN,coffee,realjayllnn,320900,3982,15800,5039
4,5,original sound - 🎧🎵,"fy, fyp%E3%82%B7, vairal, xzyabc, foryou, preppy, stanleycup, tiktok, like, follow, goviralgo, thursday, skincare, glowrrcipe, drunkelephant, sephora, watermelon, vanity, preppyaesthetic, preppylifestyle, afternoon, pink",livewgiulia,137400,19600,36300,9631
4,6,original sound - Cameron Roh,fyp,cameronrohpovs,58800,852,10400,298
4,7,original sound - haileena,"fyp%E3%82%B7, japanese, japan, %E3%81%8A%E3%81%99%E3%81%99%E3%82%81%E3%81%AB%E3%81%AE%E3%82%8A%E3%81%9F%E3%81%84, fyp",marikasandesu,262200,483,17100,269
4,8,original sound - rxnplify,"jeans, store, vintage, foryou",lala_sadii,113600,1211,6925,102
4,9,Márcio Beat Water remix - Márcio Beats,"@neiro_6221, @ayane_neiro, foryoupage",natiuv2,776700,2059,104000,11800
4,10,original sound - ℒ𝒾𝓁𝓎⸆⸉,"@rarebeauty, @tartecosmeticstrsdt, @youthforia, @elfcosmetics, grwm_aesthetics, grwmroutine, grwm, grwmmakeup, grwminhawaiii, hawaii",grwmwithlily8,121300,3094,6888,1467
4,11,Originalton - Houseofhighlights,"nba, basketball, foryoupage, fyp%E3%82%B7",house.ofhiglights,40200,13800,3068,1993
4,12,original sound - Sara Hesri,"funnyvideos, snowball, comedy, relatable, relationship, couplegoals, arabtiktok, foryou, fyp",sarahesri,436000,1533,27000,8471
4,13,som original - sara,,m0rguekitty,50000,1579,5020,4031
4,14,original sound - ESPN,"jump, flip, backflip",espn,463200,6124,42200,5144
4,15,original sound - lilyachty,,lilyachty,8800000,37000,380300,24100
4,16,original sound - Toyy,"looks, friends, paramore, herway, herwaychallenge, presidentdeborahalivilliams, deborahaliwilliams, floptok, flopera",toyyii_,2400000,6898,224600,11300
4,17,WHY IS MY SOUND POPULAR WHAT - 🫶🏻,"onthisday, fyp, gym, diet, japan",pookieateacookie,76800,7852,10800,1335
4,18,original sound - active <3,fyp%E3%82%B7,tina_042,307300,3673,16800,839
4,19,Sunday Kind of Love - Etta James,"fyp, foryou, novio%F0%9F%A4%8D, him, iloveyou, @xo.jb1",_.ellie09,163500,988,22500,1174
4,20,original sound - Gabby Ferrara,2024,gabbyferraraaa,157300,412,12200,326
4,21,Wassup Gway - Famous Sally & YB,"fyp, wlw, lgbtq, fyp%E3%82%B7",katfayy,315100,434,12600,881
4,22,original sound - Sierra Larson,"fyp, fypage, trendy, romantoolit, thanksgiving",theonlyromantoolit,97800,666,16500,358
4,23,ROCKIN’ AROUND THE CHRISTMAS TREE - BRENDA LEE,"comfykicks, sneakerhead, slippers, sneakers, sneakertok, fyp, viralvideo, sneakerslipper, giftideas",comfykicks.com,378600,12400,52600,53100
4,24,original sound - Anna Kat,"tvshow, tiktok, fyp",tkdyorio,344700,980,28800,383
5,0,original sound - madi,"fyp, makemeviral, fyp%E3%82%B7%E3%82%9Aviral, maj, blowup, makemefamouse",shelovesmxj,164700,1640,31700,945
5,1,оригинальный звук - ynogasai,"funny, funnyvideos, trending, fyp",_funny.official,150400,722,14100,4494
5,2,nhạc nền - us.cominghome.99,"cominghome, surprise, soldiercominghome, military, viralvideo, fyp",us.cominghome.99,10400,226,5613,66
5,3,original sound - Modeli,,smelimodeli,173700,831,44600,1043
5,4,original sound - eminem 😉 >>,"fit, fitness, fittok, fitcheck, outfit, outfitideas, lululemon, eminem, polishgirl, poland, polish",imcocolemonxoxo,65900,758,210100,476
5,5,som original - lalarinha,,breckiehill,72900,1104,79000,747
5,6,original sound - I olny have eyes for him❤️‍🩹,,olnyeyesforhim34,31,1,1138,0
5,7,original sound - Kenayo Frederick,"fyp, fu, freesaucegod, highlightertutorial",nhlfreesaucegod,270800,1608,81500,4323
1,0,Following just the New tiktoker - TikTok Queen🇧🇪 🇮🇹,ladykaylive,lady.kay_,249900,142100,179400,69800
1,1,I Misunderstood The Assignment - rclbeauty101,"shortking, tall, family",marietemara4.0,8377,882,835,40
