batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ina,,ina.katherine,3400000,30200,226400,94800
1,3,Rock With It by Saucy Santana - Saucy Santana,"fyp, foryou, foryoupage, caseynicola, lgbt, couplestiktok, lesbiansoftiktok, lesbian, couple, girlfriend",caseynicolaxx,29500,107,854,62
1,4,original sound - Jailyne Ojeda,,jailyneojeda,439800,1313,30800,965
1,7,Candyman (Ultimix Mixshow) - Christina Aguilera,"fyp, foryou, @flemkristine",eliseesaebones,224900,1867,19000,6931
1,9,original sound - Miss Spirituality 💕🌟,"stitch, angeltok, godisreal, spirituality, viral",soultribereiki,1900000,23900,192000,38500
2,3,original sound - dramabyte,"cdrama, chinesedrama, fyp, shortdrama, drama, movie, funtv",dramabyte,185200,405,15100,485
2,5,original sound - dramabyte,"cdrama, chinesedrama, fyp, shorts, funtv, heiress",dramabyte,6103,41,769,17
2,8,original sound - dramabyte,"cdrama, chinesedrama, fyp, shorts, funtv",dramabyte,66300,161,8532,194
2,9,original sound - dramabyte,"cdrama, chinesedrama, fyp, shorts, funtv, heiress",dramabyte,20300,84,1868,51
2,10,original sound - ¹ⁱⁿᵗᵉʳʳᵘᵖᵗᵉᵈᵍⁱʳˡ,"dress, fashion, outfits, houseofcb, weddingdress, outfitideas, outfitinspo",shessokiki,267900,1783,34100,1312
2,11,original sound - Courtney Renee,"juciyfestsyd, juciyfest2024, ti, tidaughter",courtneeyyrenee,138100,313,7275,1067
2,12,original sound - dramabyte,"cdrama, chinesedrama, fyp, shorts, funtv, heiress",dramabyte,15700,84,1590,40
2,13,original sound - FemaleRap,"@houseofcbofficial, houseofcb, houseofcbdress, styling, fashion, gifted",chynasolder,118200,408,23300,664
2,14,original sound - dramabyte,"cdrama, chinesedrama, fyp, shorts, funtv, heiress",dramabyte,6394,62,1124,20
2,16,original sound - dramabyte,"cdrama, chinesedrama, fyp, shorts, funtv, heiress",dramabyte,44400,56,3619,98
1,3,оригінальний звук - music ♫,"lego, legobatcave",ema_bb0,697700,5567,66800,4645
1,4,Bongos (feat. Megan Thee Stallion) - Cardi B,@theaishahsofey,sophieraiin,85000,260,15500,550
1,5,Captain (whistle) - Nutcase22,fyp,mamaplugsx,37100,84,3816,64
1,6,original sound - MILITARY EDIT 3,"funnymoments, navy",military_lp,40500,206,5124,123
1,8,original sound - thy phan,"girlguybestfriend, meme, relatable",miiilkthy,1500000,7301,117800,16900
1,9,original sound - Sophie,"fyp, boyfriend, scared",sophiee_grwmm,396400,2065,15100,787
2,0,son original - 🦋,"capcut, meme, spider, fyp, humour",nogdt,190200,979,12700,4766
