batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Aesthetic - Tollan Kim,"bhronos, foryoupage, fyp, fortnite, gaming, viral, chapter5",bhronosfn,273200,2668,15500,495
1,1,original sound - divin,,ellielobio,224000,424,19800,602
1,2,original sound - sitodimaggio,,dimaggiosito,508800,2804,67300,526600
1,3,original sound - cadaea,,cadaea,614300,5211,94400,9863
1,4,original sound - Getti,"waterbeads, sportsballoons, popballoons, mysteryprizes, vegastiktok",gettishow,216800,6898,16400,1596
1,5,original sound - Alex,,vaynessvalery,245000,803,38200,6329
1,6,original sound - slspalace,"candaceowens, candacereacts, lilrt, children, rapping",sealspalace,145200,12000,32000,1630
1,7,som original - lalarinha,,breckiehill,73400,1119,81600,754
1,8,original sound - ANGRY GRANDMA,"fyp, angrygrandma, comedy, shopping, christmas, viral, trending, makethisviral, funny, hilarious, trynottolaughtiktoktv",angrygrandma18,639400,7542,71400,126100
1,9,brian is the most beautiful - ❀,"viral, fyp, real, mentalhealth, relatable, sad, sadrelatable, imtired, mentalhospital",someone...idk7,1000000,0,68300,1572
1,10,original sound - JSCM_movies,"movies, foryou, movie, movieclips, fyp",jscm_movies6,591000,19900,113400,12900
1,11,original sound - allison,fyp,redhairgorl,150000,825,29000,2170
2,0,origineel geluid - Uranium bomb :3,"furry, collage, dbd, idv, monsterenergy, pokemon, fursuit, sodadog, anthro",mono_thesodadog,48,2,20,3
2,1,original sound - eminem 😉 >>,"fit, fitness, fittok, fitcheck, outfit, outfitideas, lululemon, eminem, polishgirl, poland, polish",imcocolemonxoxo,66300,767,216500,480
2,2,original sound - Put A Finger Down,,jordansmikle,297400,34300,30100,209000
2,3,Love Is Beautifully Painful (Ghost Duet Version) - Darkrose,"fyp, foryou, foryoupage, emotional, dad, son, trans, viral",dailytokky,390100,6705,49500,7140
2,4,Funny - Gold-Tiger,"foryou, fyp",miusuu362,21400,115,2396,767
2,5,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,@gavinmagnus,lovealwayspiper,144000,3734,10100,814
2,6,UH THANKS FOR USING MY SOUND - ☆ Clyde / Luna ☆,,vera.jrr,237600,11100,23200,872
2,7,TEACH ME HOW TO DRILL - Lil Mabu & Fivio Foreign,"lilmabu, fivioforeign, hood, viral, nerd",lilmabu,2400000,9267,146200,16300
2,8,joshuasamuels follow me - 00:00,foryoupage,secretlifeofroma,1100000,6515,70400,4294
2,9,This Is How We Do It (Album Version) - Montell Jordan,"iloveyoubro, friendshipgoals, bromance, sneakersaddict",brotherswhiskey,475400,2517,13300,5192
2,10,nhạc nền - Celeste,"fyp, fyp%E3%82%B7, catsoftiktok, cats, cat",celeste._666,7600000,77500,515000,195300
2,11,original sound - Camilla Araujo,"interview, publicinterview, minivlog, fyp",camillaara.backup,35100,181,6476,211
2,12,Barbie World (with Aqua) [From Barbie The Album] - Nicki Minaj & Ice Spice & Aqua,"icespice, munch, icespiceconcert, fyp, foryou, concert, dansechallenge, pourtoi",icee_spiceefan,97900,1394,10000,1334
2,13,real - blizz △,"runningaway, vent, mentalhealth, mentalhealthawareness, mentalhealthmatters, recovery, mentallyunstable, emotionaldamage, emotionallyunstable, emotionallyunavailaible, runningawayfromhome, fy, fyp, fyp%E3%82%B7",stellisaurus,515600,1588,62500,1227
2,14,son original - prof.star,"test, professor, correction, school",prof.star,4000000,68700,293500,146000
2,15,original sound - Nieka Richard,"@wockhardt03, principalrichard",niekarichard,8500000,107500,686900,129699
2,16,original sound - Alvardo,"fyp%E3%82%B7, foryou, movieclips, funny",alvardo.nb,176700,312,17300,452
2,17,original sound - Brittany Muddamalle,"multiracialfamily, tiktokfamily, whitemom",almostindianwife,1100000,3847,54000,8115
2,18,"i just farted - 𖦹 jelly, 🪲","sama28, fyp%E3%82%B7, floptok, relatable, tiktoksa",y2k_kitty_,1400000,17500,150000,31800
2,19,original sound - _lortinkyy,@msb_rayshawn,_lortinkyy,1700000,16500,114300,68700
2,20,original sound - Alex Nino Truckers,"alexnino, truck, driver, vlog, us, usa, trucker, camping, trucks, capcut",alexninotruckers,3400000,16200,283800,15900
2,21,original sound - Paul Olima,"Flying, Plane, Airports, @svengudvunsun, @meettheharrisons, @emilyfayemiller",olima_omega,207700,1446,16600,3638
2,22,original sound - Gavin.kernstinee,igmirandahhmarie,mirandahshaul,408200,1780,44300,7100
2,23,original sound - Didios,"boys, randomfacts, advice",didiios,696900,43900,86600,269100
2,24,original sound - Julia,,krissymfkummins,2500000,21500,258500,132000
2,25,Only Love Can Hurt Like This (Slowed Down Version) - Paloma Faith,mtbro,mahendramagar009,247600,17300,48100,98800
2,26,original sound - Kenayo Frederick,"fyp, fu, freesaucegod, highlightertutorial",nhlfreesaucegod,272600,1632,88400,4349
2,27,sunet original - Victor drx99,"zyxcba, fyp",levi_neal14,604700,3644,41200,3037
2,28,original sound - OFF™,fyp,lelasohna,27900,288,7243,482
3,0,original sound - Eva,,eva.e1fi,60800,35100,2537,567
