batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Heather 🍯,"fyp, foryoupage, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, 5xpictures, pov, thatonefriend, bff, disneyworld",vianlixchristine,2700000,42600,172600,58000
1,1,original sound - REEKON Tools,,reekontools,639700,3845,105100,77500
1,2,Pink Friday Girls x Stand By Me TEMPLE REMIX - TEMPLE.SOVND,,b.e.n_rl,2440,83,195,13
1,3,Gucci Flip Flops - user73494582901,,secretst0n3r,1300000,7418,88100,5066
1,4,original sound - Brett Neustrom,,brett_neusty,6200000,15900,298400,41200
1,5,original sound - Clinton🤴🏾❤️,"kingangikenya, kingangi_official",kingangi_official,44300,21300,4104,13200
1,6,Went Silly - King Von,"robloxhoodgame, robloxhoodrp, kingvon, oblock, cheating, ak",krazybando,11400,442,2451,220
1,7,Epic Inspiration - DM Production,,graciebonr,158300,3808,43700,15400
1,8,original sound - Nate the Hoof Guy,"natethehoofguy, fyp, foryoupage, hooftrimming, hoofcleaning, hoofpicking, oddlysatisfying, hoofcare, hoofcareroutine, naptime, rocks, rockstar",natethehoofguy,2100000,14500,74100,14500
1,9,original sound - Dayquan & Arianna,,dayandari,224100,1282,23500,1495
1,10,original sound - mya ★,"piperrockelle, piperrockellebby, piperrockelleedit, piperrockelleedits, gavinmagnus, gavinmagnusedit, pavin, pavinedits, edit, fyp, foryou, foryoupage",pipersluvas,115300,812,12600,932
