videoID,creator,likes,comments,favorites,shares,hashtags
N/A,dre_da_dancer,17.7K,15.6K,2057,211,"['#fyp ', '#dredadancer ']"
N/A,morimura,2.6M,14.7K,145.2K,20.2K,['@Keira ']
N/A,lula36124,493.1K,527,32.2K,408,"['#movie ', '#film ', '#foryou ']"
N/A,bettercallhall,32.2K,342,702,33,"['#highschool ', '#teacher ', '#foodie ', '#cookinginmyclassroom ']"
N/A,captaincar0line,169K,5,14.6K,659,"['#codymaverick ', '#hawaii ', '#sufergirl ', '#tistheseason ']"
N/A,redfox.autumn,42,16,23,Share,"['#greenscreen ', '#lockscreen ']"
N/A,jessie.shen,782.4K,3633,33K,1386,['#chango ']
N/A,bethanymeach,452.6K,10.3K,53.7K,88.3K,[]
N/A,thecreditbrothers,37.2K,1105,11.5K,10.3K,['@Mike the Credit Guy ']
N/A,taylor.abundantly,49.9K,431,3793,731,"['@julie ', '@Cam ', '#wlwtiktok ', '#fyp ', '#lgbtq ', '#lesbiansoftiktok ', '#lesbiancouple ', '#femsoftiktok ', '#wlw ', '#wlwcouple ', '#twobrides ', '#ourstory ', '#sapphic ', '#stroytime ', '#carstorytime ', '#sapphiccouple ', '#sapphictiktok ', '#weddingtiktok ', '#couplegoals ', '#lgbtqcouples ', '#fallinginlove ']"
N/A,soulthagenshinstan,116.5K,1495,6494,2281,"['#greenscreenvideo ', '#foodcritic ', '#keithlee ', '#therealmilkandhoney ', '#keithleeeffect ', '#keithleefans ', '#therealmilkandhoneyresponse ', '#atlanta ', '#atlantafood ']"
N/A,mattieunderwood1987,23.5K,5800,2578,2129,"['#trump ', '#breakingnews ', '#today ', '#meidastouch ', '#speaker ', '#msnbc ', '#cnn ', '#foxnews ', '#speaker ', '#news ', '#mccarthy ']"
N/A,_jaehyunsocks,265.4K,3475,21.7K,4450,"['#jyp ', '#jypark ', '#bluedragonawards ', '#filmawards ', '#kdrama ', '#kdramafyp ', '#kpopfyp ', '#jaehyunsocks ']"
N/A,planetearthmoments,2.9M,8418,222.8K,56.5K,"['#wholesome ', '#positivity ', '#emotional ', '#crying ', '#family ', '#wedding ', '#bride ', '#colourblind ', '#colorblindglases ']"
N/A,music_jinx,983.4K,8256,158.7K,5782,"['#fyp ', '#river ', '#lyrics ', '#music ', '#foryou ', '#trending ', '#viralvideo ', '#cover ', '#singing ', '#performance ', '#foryoupage ', '#voiceeffects ']"
N/A,lloydy_lloyd_,769.7K,2760,52.2K,8240,['#lloydylloydpranks ']
N/A,k.explorer,326.3K,6066,17.9K,918,[]
N/A,shelbyrobinss,235.7K,1096,98.6K,8184,"['#meditativeathletics ', '#bodyrecomposition ']"
N/A,bean_on_a_bike,70.8K,2978,6678,3564,"['#germany ', '#freepalestine ']"
N/A,lucky_chucky,24.9K,2965,3739,8136,"['#fyp ', '#indiana ', '#america ', '#worstcitiestolive ', '#mostdangerouscities ', '#indianacheck ', '#IN ', '#tiktok ']"
N/A,justas.itis,55.9K,1668,4625,2276,"['#SU_35s ', '#Saudi ', '#Putin ', '#OPEC ', '#Riyadh ', '#Russia ', '#ilyushin_il_96 ', '#News ', '#JustAsitis ', '#foryou ', '#fyp ', '#trending ', '#fypシ ', '#foryoupage ', '#geopolitics ']"
N/A,monytizing,474.5K,8419,59.9K,237.3K,"['#hija ', '#mujeres ', '#datospsicologicos ', '#fyp ', '#viral ', '#hijas ']"
N/A,kimberleylucas_,531.4K,2098,35.6K,19.1K,"['#quickelfontheshelfideas ', '#easyelfideas ', '#fyp ', '#elfontheshelf2023 ', '#easyelfontheshelf ', '#eots2023 ', '#lastminuteelfidea ']"
N/A,bynessa_,2.7M,6719,224.1K,50.3K,"['#tanghulu ', '#tanghuluasmr ', '#candy ', '#streetfood ', '#chinesefood ']"
N/A,casslo7,518K,20.7K,27.5K,7189,"['#ethanplath ', '#oliviaplath ', '#theplathfamily ', '#welcometoplathville ', '#tlc ', '#tlctv ', '#tvshow ', '#reality ', '#realitytv ', '#realityshow ', '#foryou ', '#marriage ', '#marriageissues💔😭 ', '#communication ', '#cooking ', '#husbandwife ']"
N/A,midnightmood_oficial,1.6M,5938,177.7K,60.3K,"['#emcambiono ', '#lavoz ', '#parati ']"
N/A,timothycsimons,948K,3736,41.8K,12.7K,"['#hughlaurie ', '#veep ', '#secondincommand ']"
